Fake,Natural,Anthropomorphism
Machinelike,Humanlike,Anthropomorphism
Unconscious,Conscious,Anthropomorphism
Artificial,Lifelike,Anthropomorphism
Moving rigidly,Moving elegantly,Anthropomorphism
Dead,Alive,Animacy
Stagnant,Lively,Animacy
Mechanical,Organic,Animacy
Inert,Interactive,Animacy
Apathetic,Responsive,Animacy
Dislike,Like,Likeability
Unpleasant,Pleasant,Likeability
Unfriendly,Friendly,Likeability
Unkind,Kind,Likeability
Awful,Nice,Likeability
Incompetent,Competent,Perceived Intelligence
Ignorant,Knowledgeable,Perceived Intelligence
Irresponsible,Responsible,Perceived Intelligence
Unintelligent,Intelligent,Perceived Intelligence
Foolish,Sensible,Perceived Intelligence
